Nome da Loja;Estado;Produto;Quantidade;Data;Preço do Produto
Loja B;MG;Produto Y;10;2023-05-16 00:00:00;428,08
Loja B;PR;Produto V;16;2024-03-03 00:00:00;73,73
Loja A;PR;Produto W;6;2023-01-29 00:00:00;465,67
Loja C;MG;Produto Y;14;2024-08-17 00:00:00;14,98
Loja C;MG;Produto Z;18;2023-11-26 00:00:00;412,99
Loja E;RJ;Produto Y;9;2023-02-03 00:00:00;146,61
Loja E;RS;Produto X;7;2024-05-18 00:00:00;102,44
Loja A;SP;Produto Y;18;2023-04-14 00:00:00;229,87
Loja A;SP;Produto Y;10;2024-05-08 00:00:00;449,57
Loja D;PR;Produto Z;2;2024-01-06 00:00:00;395,09
Loja E;PR;Produto Z;13;2024-01-23 00:00:00;483,86
Loja B;RJ;Produto V;6;2023-08-25 00:00:00;275,09
Loja C;MG;Produto Z;9;2023-03-31 00:00:00;260,17
Loja A;SP;Produto Y;8;2023-11-29 00:00:00;16,39
Loja C;RJ;Produto X;10;2024-01-12 00:00:00;98,5
Loja C;PR;Produto Z;16;2023-08-28 00:00:00;253,83
Loja D;PR;Produto V;15;2024-12-30 00:00:00;378,76
Loja E;SP;Produto V;13;2023-07-01 00:00:00;413,08
Loja A;PR;Produto Y;18;2023-09-14 00:00:00;148,8
Loja C;PR;Produto Z;6;2023-07-08 00:00:00;359,1
Loja A;RS;Produto Z;9;2024-02-19 00:00:00;415,98
Loja B;MG;Produto V;18;2023-09-12 00:00:00;193,65
Loja D;PR;Produto Z;7;2023-02-14 00:00:00;350,82
Loja B;RS;Produto Y;5;2024-08-20 00:00:00;224,27
Loja A;RJ;Produto X;11;2023-07-20 00:00:00;492,97
Loja A;PR;Produto Y;13;2023-12-25 00:00:00;13,27
Loja E;RJ;Produto Z;3;2023-12-09 00:00:00;213,03
Loja C;PR;Produto Y;1;2023-07-31 00:00:00;139,22
Loja C;SP;Produto W;4;2024-09-22 00:00:00;426,37
Loja B;RS;Produto W;19;2023-10-25 00:00:00;150,69
Loja D;RS;Produto Z;18;2023-06-04 00:00:00;276,48
Loja C;SP;Produto Z;6;2024-11-28 00:00:00;372,73
Loja E;MG;Produto X;10;2023-07-16 00:00:00;253,64
Loja B;RS;Produto Y;7;2024-04-26 00:00:00;211,1
Loja B;RJ;Produto X;12;2024-12-13 00:00:00;30,83
Loja E;RS;Produto Z;8;2024-01-14 00:00:00;21,24
Loja D;MG;Produto Z;13;2024-12-06 00:00:00;479,09
Loja E;RJ;Produto V;18;2024-01-02 00:00:00;325,19
Loja D;RJ;Produto X;14;2024-06-20 00:00:00;414,37
Loja E;SP;Produto Z;11;2023-03-12 00:00:00;245,41
Loja E;PR;Produto W;10;2023-01-28 00:00:00;138,17
Loja A;SP;Produto V;6;2024-01-28 00:00:00;154,32
Loja B;PR;Produto Y;13;2024-06-06 00:00:00;31,31
Loja E;SP;Produto V;10;2023-12-15 00:00:00;397,53
Loja E;PR;Produto Y;12;2023-04-28 00:00:00;294,97
Loja C;RS;Produto W;1;2024-01-15 00:00:00;245,59
Loja B;RJ;Produto Y;18;2023-07-27 00:00:00;427,63
Loja C;PR;Produto X;13;2024-02-27 00:00:00;227,97
Loja B;RS;Produto Y;4;2023-04-03 00:00:00;474,49
Loja C;MG;Produto Y;6;2023-05-21 00:00:00;16,49
Loja E;SP;Produto V;18;2023-12-21 00:00:00;492,46
Loja E;MG;Produto W;5;2024-06-06 00:00:00;409,78
Loja A;RS;Produto Y;18;2023-03-10 00:00:00;183,92
Loja C;MG;Produto X;5;2024-08-04 00:00:00;301,73
Loja D;MG;Produto V;7;2024-11-27 00:00:00;433,66
Loja A;RS;Produto W;9;2023-05-04 00:00:00;245,98
Loja C;RJ;Produto W;3;2024-02-23 00:00:00;35,01
Loja C;PR;Produto Z;12;2024-06-06 00:00:00;452,81
Loja A;SP;Produto X;14;2024-11-08 00:00:00;263,34
Loja E;PR;Produto V;8;2024-08-25 00:00:00;277,13
Loja C;SP;Produto V;12;2023-12-07 00:00:00;16,72
Loja E;PR;Produto X;7;2023-11-01 00:00:00;59,03
Loja A;MG;Produto W;9;2023-06-06 00:00:00;390,92
Loja E;RJ;Produto Y;12;2023-03-29 00:00:00;223,13
Loja B;MG;Produto X;4;2023-08-16 00:00:00;499,05
Loja D;RJ;Produto V;5;2023-12-31 00:00:00;350,88
Loja C;RS;Produto X;9;2024-10-07 00:00:00;475,3
Loja D;SP;Produto W;7;2023-09-23 00:00:00;146,88
Loja E;SP;Produto Z;14;2023-03-25 00:00:00;96,32
Loja C;RS;Produto Z;17;2023-07-31 00:00:00;194,53
Loja E;PR;Produto Y;1;2023-08-06 00:00:00;139,74
Loja B;RS;Produto Y;15;2023-05-31 00:00:00;310,55
Loja A;RS;Produto W;15;2024-11-16 00:00:00;374,78
Loja C;RJ;Produto Y;1;2023-05-20 00:00:00;207,03
Loja B;RS;Produto Z;15;2023-02-24 00:00:00;54,02
Loja B;SP;Produto W;2;2023-05-21 00:00:00;22,9
Loja C;MG;Produto W;4;2023-03-15 00:00:00;116,83
Loja E;RJ;Produto W;17;2023-05-15 00:00:00;368,92
Loja B;RJ;Produto X;16;2024-10-03 00:00:00;118,56
Loja D;PR;Produto Y;18;2023-01-26 00:00:00;456,38
Loja B;MG;Produto V;16;2024-05-02 00:00:00;329,31
Loja E;RJ;Produto Z;8;2024-03-10 00:00:00;432,42
Loja E;RS;Produto Y;6;2024-08-03 00:00:00;199,05
Loja D;RJ;Produto Z;2;2023-03-03 00:00:00;491,94
Loja B;RJ;Produto Y;19;2023-07-19 00:00:00;342,95
Loja E;RJ;Produto V;13;2024-05-04 00:00:00;184,91
Loja C;PR;Produto Z;6;2024-05-07 00:00:00;114,14
Loja A;RJ;Produto V;6;2024-11-09 00:00:00;434,6
Loja A;RJ;Produto Z;13;2024-04-12 00:00:00;165,87
Loja A;PR;Produto X;1;2023-04-26 00:00:00;31,74
Loja B;MG;Produto X;9;2024-01-06 00:00:00;146,54
Loja D;SP;Produto Z;12;2024-10-12 00:00:00;97,93
Loja E;PR;Produto Z;12;2023-08-20 00:00:00;166,67
Loja C;PR;Produto V;4;2024-03-23 00:00:00;310,5
Loja C;RJ;Produto W;19;2023-08-02 00:00:00;255,21
Loja B;RJ;Produto Z;16;2023-07-27 00:00:00;358,32
Loja A;SP;Produto Y;12;2023-04-12 00:00:00;173,58
Loja B;RJ;Produto Y;1;2023-01-10 00:00:00;68,71
Loja D;RS;Produto Y;4;2024-04-17 00:00:00;88,53
Loja D;RJ;Produto X;9;2023-05-03 00:00:00;400,67
Loja E;RJ;Produto V;7;2023-01-04 00:00:00;58,02
Loja E;RS;Produto X;10;2024-04-11 00:00:00;401,08
Loja D;SP;Produto Y;13;2023-09-16 00:00:00;114,19
Loja D;RS;Produto Z;8;2024-12-21 00:00:00;342,42
Loja D;PR;Produto Y;10;2023-10-14 00:00:00;315,32
Loja B;RS;Produto Z;10;2023-01-31 00:00:00;58,15
Loja D;MG;Produto V;8;2024-11-18 00:00:00;336,27
Loja C;PR;Produto W;15;2024-06-04 00:00:00;229,28
Loja A;RJ;Produto Z;1;2024-12-16 00:00:00;356,51
Loja D;PR;Produto X;15;2024-09-11 00:00:00;419,38
Loja A;SP;Produto Y;17;2023-05-04 00:00:00;29,35
Loja B;SP;Produto Y;13;2023-05-10 00:00:00;327,5
Loja A;RS;Produto Y;12;2024-05-30 00:00:00;61,43
Loja B;PR;Produto Z;3;2024-04-24 00:00:00;195,65
Loja C;RJ;Produto V;19;2024-06-25 00:00:00;16,21
Loja B;SP;Produto Z;5;2023-03-18 00:00:00;171,04
Loja B;RJ;Produto X;3;2023-07-02 00:00:00;92,98
Loja E;MG;Produto Y;5;2024-01-01 00:00:00;282,57
Loja D;SP;Produto Z;9;2023-10-19 00:00:00;261,01
Loja D;RS;Produto Y;6;2024-12-14 00:00:00;398,7
Loja C;MG;Produto X;16;2024-01-24 00:00:00;323,58
Loja C;PR;Produto W;10;2023-06-06 00:00:00;360,17
Loja D;RJ;Produto W;16;2023-04-10 00:00:00;55,32
Loja E;SP;Produto W;3;2024-09-25 00:00:00;23,6
Loja D;MG;Produto Y;18;2023-04-20 00:00:00;485,08
Loja E;MG;Produto Z;11;2024-11-09 00:00:00;219,25
Loja C;SP;Produto Y;19;2024-10-03 00:00:00;203,54
Loja A;PR;Produto V;15;2023-09-27 00:00:00;27,16
Loja C;PR;Produto Z;11;2023-05-18 00:00:00;68,27
Loja C;RS;Produto X;10;2024-11-18 00:00:00;470,83
Loja B;PR;Produto W;9;2023-03-05 00:00:00;350,47
Loja B;RS;Produto Z;3;2024-10-04 00:00:00;210,51
Loja B;MG;Produto Z;9;2024-05-21 00:00:00;453,2
Loja B;SP;Produto W;18;2024-11-30 00:00:00;299,05
Loja E;PR;Produto X;12;2023-12-16 00:00:00;375,77
Loja D;RS;Produto Y;16;2023-05-27 00:00:00;221,48
Loja A;MG;Produto Y;4;2023-12-01 00:00:00;221,45
Loja C;PR;Produto Z;1;2024-06-15 00:00:00;43,49
Loja E;RJ;Produto W;13;2024-07-07 00:00:00;369,65
Loja A;MG;Produto V;8;2024-02-11 00:00:00;58,57
Loja E;PR;Produto X;6;2023-12-10 00:00:00;384,49
Loja E;MG;Produto Y;8;2024-10-13 00:00:00;103,52
Loja C;SP;Produto X;19;2024-06-04 00:00:00;131,21
Loja D;SP;Produto X;12;2024-08-13 00:00:00;459,77
Loja B;SP;Produto X;1;2024-10-21 00:00:00;241,07
Loja D;RJ;Produto W;4;2024-12-05 00:00:00;71,37
Loja C;SP;Produto W;13;2023-05-16 00:00:00;453,49
Loja C;RJ;Produto W;17;2023-02-08 00:00:00;231,67
Loja C;SP;Produto Z;19;2023-11-16 00:00:00;73,97
Loja A;MG;Produto W;19;2023-10-14 00:00:00;201,5
Loja D;PR;Produto Z;5;2024-04-07 00:00:00;298,77
Loja D;PR;Produto Y;11;2024-10-23 00:00:00;187,55
Loja E;SP;Produto Y;7;2023-12-18 00:00:00;462,92
Loja E;PR;Produto Y;3;2023-01-05 00:00:00;142,15
Loja E;SP;Produto Y;11;2023-08-24 00:00:00;96,15
Loja C;SP;Produto Y;17;2023-08-24 00:00:00;118,27
Loja D;RS;Produto W;11;2024-05-15 00:00:00;51,04
Loja C;RS;Produto V;15;2023-04-15 00:00:00;231,63
Loja A;RS;Produto W;19;2023-07-26 00:00:00;440,38
Loja E;RJ;Produto V;8;2023-08-27 00:00:00;159,62
Loja C;RS;Produto W;16;2023-02-21 00:00:00;136,59
Loja C;SP;Produto Y;15;2023-04-18 00:00:00;420,32
Loja A;MG;Produto X;3;2023-12-23 00:00:00;159,94
Loja B;RS;Produto V;6;2023-02-02 00:00:00;243,68
Loja D;RS;Produto X;3;2023-01-22 00:00:00;25,31
Loja B;MG;Produto Y;5;2023-11-03 00:00:00;150,67
Loja E;SP;Produto V;1;2023-01-11 00:00:00;73,97
Loja C;RJ;Produto X;14;2024-09-30 00:00:00;61,86
Loja A;RS;Produto W;12;2024-03-17 00:00:00;221,39
Loja A;MG;Produto Y;13;2024-07-15 00:00:00;145,89
Loja D;SP;Produto W;14;2023-07-17 00:00:00;91,56
Loja B;PR;Produto W;12;2024-06-12 00:00:00;260,63
Loja D;RJ;Produto Y;13;2023-02-13 00:00:00;394,18
Loja C;MG;Produto V;6;2023-07-04 00:00:00;370,08
Loja D;MG;Produto Z;15;2024-01-24 00:00:00;132,87
Loja A;MG;Produto Z;16;2024-07-04 00:00:00;138,94
Loja A;RS;Produto Y;9;2024-05-21 00:00:00;368,63
Loja E;PR;Produto Z;8;2024-03-17 00:00:00;283,01
Loja E;RJ;Produto X;5;2024-05-10 00:00:00;373,78
Loja C;SP;Produto V;15;2024-05-19 00:00:00;10,67
Loja B;SP;Produto W;7;2023-05-17 00:00:00;52,7
Loja D;PR;Produto W;17;2023-10-06 00:00:00;402,97
Loja C;MG;Produto Y;16;2023-06-13 00:00:00;427,05
Loja E;MG;Produto W;11;2024-06-26 00:00:00;178,29
Loja D;MG;Produto X;7;2023-01-23 00:00:00;479,58
Loja E;MG;Produto X;11;2024-12-11 00:00:00;157,77
Loja D;MG;Produto Y;2;2024-05-21 00:00:00;446,24
Loja B;PR;Produto W;2;2024-11-16 00:00:00;216,64
Loja C;RS;Produto Z;6;2024-05-24 00:00:00;285,29
Loja D;RJ;Produto Z;3;2024-07-23 00:00:00;325,2
Loja A;MG;Produto V;1;2024-12-08 00:00:00;75,22
Loja A;RS;Produto Y;16;2024-08-22 00:00:00;28,18
Loja D;SP;Produto V;14;2024-03-19 00:00:00;219,13
Loja D;PR;Produto Z;17;2023-05-22 00:00:00;88,57
Loja D;RS;Produto Z;18;2023-10-08 00:00:00;278,98
Loja A;MG;Produto Z;4;2023-07-26 00:00:00;232,28
Loja A;MG;Produto V;3;2024-11-14 00:00:00;69,83
Loja D;MG;Produto Y;8;2023-10-29 00:00:00;336,23
Loja E;RS;Produto X;4;2024-02-01 00:00:00;20,04
Loja E;MG;Produto X;15;2023-11-14 00:00:00;71,93
Loja B;RS;Produto Z;13;2023-02-17 00:00:00;353,08
Loja C;MG;Produto Y;14;2024-11-03 00:00:00;268,65
Loja E;SP;Produto Y;14;2024-11-07 00:00:00;148,15
Loja A;SP;Produto W;5;2024-01-25 00:00:00;98,32
Loja E;RJ;Produto W;5;2024-01-14 00:00:00;324,72
Loja B;MG;Produto V;13;2023-08-05 00:00:00;110,74
Loja B;MG;Produto W;4;2024-09-20 00:00:00;492,46
Loja C;RS;Produto V;18;2023-09-08 00:00:00;435,96
Loja E;RS;Produto X;6;2024-03-09 00:00:00;74,76
Loja A;MG;Produto Z;5;2024-08-07 00:00:00;430,98
Loja A;RJ;Produto Y;3;2023-10-11 00:00:00;179,07
Loja D;MG;Produto X;3;2024-04-27 00:00:00;250,09
Loja A;RS;Produto X;3;2024-12-07 00:00:00;79,98
Loja C;MG;Produto V;2;2023-09-24 00:00:00;68,1
Loja C;RS;Produto Z;18;2024-08-21 00:00:00;434,09
Loja A;MG;Produto V;10;2023-09-03 00:00:00;318,65
Loja A;PR;Produto X;7;2023-06-07 00:00:00;235,63
Loja D;RS;Produto Y;14;2023-12-23 00:00:00;27,72
Loja A;RJ;Produto W;10;2024-07-01 00:00:00;461,76
Loja D;PR;Produto V;16;2023-08-24 00:00:00;194,28
Loja D;MG;Produto X;6;2024-04-04 00:00:00;214,16
Loja A;RS;Produto W;17;2023-04-10 00:00:00;152,01
Loja B;PR;Produto W;6;2023-04-29 00:00:00;446,73
Loja B;RJ;Produto X;18;2023-12-20 00:00:00;178,85
Loja D;RS;Produto Z;10;2024-12-08 00:00:00;95,38
Loja A;PR;Produto X;10;2023-03-29 00:00:00;255,27
Loja B;PR;Produto Y;9;2023-02-05 00:00:00;392,93
Loja A;PR;Produto W;15;2023-11-10 00:00:00;191,96
Loja A;SP;Produto Y;11;2024-06-23 00:00:00;329,5
Loja A;MG;Produto V;7;2024-07-04 00:00:00;159,07
Loja E;RS;Produto W;18;2023-11-18 00:00:00;362,68
Loja A;RS;Produto Z;2;2024-03-02 00:00:00;337,67
Loja E;RS;Produto X;2;2024-05-31 00:00:00;343,57
Loja D;PR;Produto V;13;2024-10-14 00:00:00;326,49
Loja B;MG;Produto Y;11;2023-01-09 00:00:00;86,59
Loja B;RJ;Produto V;19;2023-12-25 00:00:00;445,12
Loja B;RS;Produto Z;1;2024-04-22 00:00:00;297,02
Loja B;MG;Produto X;17;2023-02-26 00:00:00;197,37
Loja B;MG;Produto V;18;2023-10-10 00:00:00;94,44
Loja B;SP;Produto Y;8;2024-03-20 00:00:00;393,95
Loja B;RS;Produto V;13;2024-04-05 00:00:00;259,43
Loja D;PR;Produto X;4;2024-05-04 00:00:00;82,17
Loja A;MG;Produto V;19;2023-12-25 00:00:00;461,5
Loja C;MG;Produto Y;3;2024-11-20 00:00:00;61,98
Loja E;RJ;Produto X;6;2024-08-16 00:00:00;266,87
Loja C;SP;Produto Z;6;2024-08-19 00:00:00;309,18
Loja C;MG;Produto Z;6;2023-03-06 00:00:00;499,5
Loja A;MG;Produto W;8;2024-03-04 00:00:00;79,05
Loja A;PR;Produto V;17;2024-04-01 00:00:00;310,64
Loja A;PR;Produto Y;10;2023-05-16 00:00:00;243,59
Loja B;RJ;Produto V;5;2024-08-28 00:00:00;135,99
Loja D;RJ;Produto X;19;2023-02-17 00:00:00;471,68
Loja B;RJ;Produto W;11;2024-09-03 00:00:00;397,51
Loja D;PR;Produto Y;10;2023-07-13 00:00:00;390,76
Loja D;PR;Produto V;3;2023-04-27 00:00:00;450,6
Loja C;SP;Produto Y;10;2023-06-13 00:00:00;365,27
Loja C;RS;Produto X;2;2024-04-23 00:00:00;258,3
Loja D;RS;Produto W;9;2023-10-14 00:00:00;201,85
Loja D;SP;Produto Y;5;2024-06-19 00:00:00;355,03
Loja B;RS;Produto X;17;2024-05-08 00:00:00;305,38
Loja B;PR;Produto Z;6;2024-02-09 00:00:00;276,01
Loja C;RS;Produto Y;11;2023-04-06 00:00:00;298,64
Loja A;PR;Produto W;5;2024-05-11 00:00:00;331,12
Loja D;SP;Produto Y;7;2023-09-11 00:00:00;484,67
Loja B;RJ;Produto Y;7;2024-02-18 00:00:00;379,05
Loja C;SP;Produto X;4;2024-09-24 00:00:00;96,45
Loja B;RS;Produto V;10;2024-08-06 00:00:00;238,72
Loja D;PR;Produto V;18;2024-01-06 00:00:00;342,34
Loja D;RS;Produto Y;1;2024-07-29 00:00:00;96,07
Loja E;RS;Produto W;14;2023-08-31 00:00:00;467,03
Loja A;RJ;Produto W;6;2024-09-30 00:00:00;47,74
Loja E;RS;Produto X;11;2024-01-08 00:00:00;309,38
Loja C;RJ;Produto Y;14;2023-02-08 00:00:00;488,21
Loja B;PR;Produto Y;3;2023-12-19 00:00:00;366,66
Loja C;PR;Produto V;16;2024-03-01 00:00:00;341,86
Loja D;RJ;Produto X;16;2023-03-18 00:00:00;498,74
Loja E;SP;Produto Z;7;2024-05-24 00:00:00;397,98
Loja E;PR;Produto W;8;2024-05-31 00:00:00;485,44
Loja E;SP;Produto W;4;2023-05-20 00:00:00;352,46
Loja C;PR;Produto Y;12;2023-09-09 00:00:00;336,07
Loja D;PR;Produto X;12;2024-10-30 00:00:00;383,66
Loja B;MG;Produto Z;10;2023-11-13 00:00:00;102,49
Loja B;RS;Produto W;12;2024-02-24 00:00:00;404,83
Loja C;RS;Produto X;11;2023-03-16 00:00:00;485,37
Loja E;SP;Produto Z;11;2023-01-29 00:00:00;309,71
Loja A;RS;Produto Y;15;2023-02-10 00:00:00;16,05
Loja C;SP;Produto V;6;2024-06-24 00:00:00;45,33
Loja C;PR;Produto W;11;2024-05-06 00:00:00;125,01
Loja D;MG;Produto W;2;2023-04-10 00:00:00;250,64
Loja B;MG;Produto Z;9;2023-11-16 00:00:00;212,74
Loja C;PR;Produto V;11;2024-07-23 00:00:00;489,81
Loja C;RJ;Produto X;16;2024-12-23 00:00:00;473,34
Loja E;RJ;Produto Y;13;2024-10-11 00:00:00;202,43
Loja E;RS;Produto X;13;2024-06-06 00:00:00;399,22
Loja A;SP;Produto Z;18;2023-07-08 00:00:00;321,82
Loja D;MG;Produto W;1;2024-03-25 00:00:00;129,14
Loja A;RS;Produto W;10;2023-04-04 00:00:00;466,28
Loja E;PR;Produto X;19;2023-06-30 00:00:00;137,16
Loja B;MG;Produto Y;17;2023-11-17 00:00:00;436,47
Loja E;SP;Produto Z;1;2023-10-10 00:00:00;322,44
Loja D;SP;Produto Y;1;2024-01-26 00:00:00;314,35
Loja E;RJ;Produto Z;17;2023-11-17 00:00:00;420,82
Loja D;RS;Produto Y;15;2024-07-23 00:00:00;252,21
Loja D;PR;Produto X;2;2023-01-25 00:00:00;428,15
Loja D;MG;Produto V;11;2023-09-17 00:00:00;279,61
Loja D;SP;Produto Z;2;2024-05-11 00:00:00;492,48
Loja D;MG;Produto X;9;2023-08-01 00:00:00;333,37
Loja B;PR;Produto W;19;2023-04-25 00:00:00;193,29
Loja A;MG;Produto W;2;2024-03-27 00:00:00;384,05
Loja C;RS;Produto Y;16;2024-11-30 00:00:00;259,85
Loja A;RJ;Produto W;9;2024-10-09 00:00:00;404,95
Loja D;MG;Produto V;4;2024-05-04 00:00:00;418,4
Loja B;RJ;Produto Z;13;2024-08-24 00:00:00;312,29
Loja E;PR;Produto Y;15;2024-06-11 00:00:00;437,37
Loja B;RJ;Produto Z;2;2024-10-20 00:00:00;207,68
Loja D;MG;Produto Z;18;2024-01-20 00:00:00;38,11
Loja B;MG;Produto X;9;2024-09-04 00:00:00;334,7
Loja B;SP;Produto W;1;2024-02-22 00:00:00;384,58
Loja D;MG;Produto Z;3;2023-08-07 00:00:00;45,67
Loja B;RJ;Produto V;17;2024-07-10 00:00:00;387,75
Loja C;SP;Produto V;11;2023-03-04 00:00:00;323,19
Loja C;MG;Produto W;8;2023-12-16 00:00:00;67,04
Loja B;MG;Produto W;12;2024-01-25 00:00:00;274,57
Loja E;PR;Produto Y;11;2024-01-12 00:00:00;63,28
Loja D;SP;Produto Y;13;2023-03-07 00:00:00;167,59
Loja C;PR;Produto Y;15;2023-04-29 00:00:00;403,95
Loja E;PR;Produto W;17;2023-01-08 00:00:00;59,39
Loja B;PR;Produto Z;12;2024-12-07 00:00:00;235,1
Loja E;RS;Produto X;19;2023-01-27 00:00:00;306,8
Loja A;PR;Produto Y;11;2023-10-17 00:00:00;470,85
Loja C;RJ;Produto X;10;2023-01-28 00:00:00;371,26
Loja B;MG;Produto V;17;2023-06-08 00:00:00;78,23
Loja D;RS;Produto W;13;2023-05-25 00:00:00;484,75
Loja B;PR;Produto V;16;2024-04-11 00:00:00;244,2
Loja D;MG;Produto Y;17;2023-04-18 00:00:00;191,16
Loja B;SP;Produto Z;5;2024-03-14 00:00:00;73,07
Loja E;SP;Produto Y;9;2023-07-22 00:00:00;467,41
Loja E;MG;Produto X;4;2023-10-28 00:00:00;297,24
Loja E;RJ;Produto Y;9;2024-03-13 00:00:00;494,11
Loja A;MG;Produto Z;16;2023-01-11 00:00:00;95,19
Loja D;MG;Produto Z;7;2024-08-29 00:00:00;277,46
Loja E;RS;Produto W;14;2024-10-03 00:00:00;63,84
Loja A;SP;Produto W;14;2023-04-13 00:00:00;266,9
Loja D;SP;Produto Z;7;2024-04-30 00:00:00;446
Loja B;PR;Produto Z;16;2023-04-20 00:00:00;63,57
Loja A;MG;Produto X;18;2024-10-04 00:00:00;142,13
Loja C;MG;Produto Y;6;2024-12-03 00:00:00;344,38
Loja A;RJ;Produto W;7;2023-04-03 00:00:00;47,38
Loja A;SP;Produto X;19;2024-12-18 00:00:00;232,45
Loja D;RJ;Produto Y;8;2024-06-24 00:00:00;173,2
Loja B;RS;Produto W;1;2024-11-29 00:00:00;420,69
Loja C;PR;Produto X;17;2024-05-21 00:00:00;34,05
Loja E;RJ;Produto V;19;2023-06-26 00:00:00;433,06
Loja E;SP;Produto V;7;2024-03-14 00:00:00;354,78
Loja A;RS;Produto W;18;2024-10-29 00:00:00;155,62
Loja D;MG;Produto X;6;2024-12-11 00:00:00;106,91
Loja D;RS;Produto Y;6;2024-05-25 00:00:00;475,59
Loja E;RJ;Produto Y;1;2023-04-19 00:00:00;281,41
Loja C;SP;Produto X;10;2023-03-13 00:00:00;178,94
Loja B;RJ;Produto V;8;2024-05-03 00:00:00;31,79
Loja C;MG;Produto X;7;2023-10-08 00:00:00;91,23
Loja B;MG;Produto V;9;2023-08-02 00:00:00;303,1
Loja E;SP;Produto V;1;2024-04-01 00:00:00;261,42
Loja B;PR;Produto Y;11;2024-08-09 00:00:00;381,23
Loja D;RS;Produto W;3;2024-02-22 00:00:00;419,07
Loja A;RS;Produto Z;18;2024-05-24 00:00:00;204,62
Loja A;MG;Produto X;6;2024-10-23 00:00:00;59,46
Loja E;RJ;Produto V;11;2023-11-19 00:00:00;397,85
Loja D;RJ;Produto X;5;2023-06-27 00:00:00;281,33
Loja C;PR;Produto W;4;2024-11-18 00:00:00;490,1
Loja D;RJ;Produto W;8;2023-04-14 00:00:00;400,21
Loja A;RS;Produto Z;10;2023-04-29 00:00:00;171,25
Loja A;RJ;Produto Z;3;2024-12-12 00:00:00;219,96
Loja D;PR;Produto V;13;2024-08-04 00:00:00;125,43
Loja D;RS;Produto Z;17;2023-02-26 00:00:00;260,88
Loja A;RJ;Produto V;5;2024-02-13 00:00:00;358,26
Loja C;RS;Produto Y;8;2024-07-31 00:00:00;310,12
Loja E;MG;Produto V;19;2023-02-27 00:00:00;177,62
Loja E;MG;Produto Z;18;2023-04-27 00:00:00;413,42
Loja D;MG;Produto X;1;2024-02-29 00:00:00;61,48
Loja E;RJ;Produto Z;4;2023-01-21 00:00:00;79,85
Loja A;PR;Produto W;18;2023-03-20 00:00:00;208,04
Loja A;RS;Produto Z;14;2024-07-12 00:00:00;354,1
Loja D;SP;Produto Y;11;2024-11-13 00:00:00;350,15
Loja D;MG;Produto V;9;2024-08-18 00:00:00;189,6
Loja D;MG;Produto W;13;2023-04-18 00:00:00;351,34
Loja C;SP;Produto V;17;2023-09-28 00:00:00;39,69
Loja E;SP;Produto V;15;2024-11-18 00:00:00;152,11
Loja D;RJ;Produto Z;2;2024-04-20 00:00:00;349,95
Loja B;RS;Produto X;6;2023-03-11 00:00:00;100,18
Loja B;MG;Produto W;7;2024-01-22 00:00:00;114,23
Loja A;PR;Produto Y;2;2023-06-15 00:00:00;52,57
Loja E;RJ;Produto Y;13;2023-02-27 00:00:00;188,59
Loja D;RJ;Produto X;10;2024-03-26 00:00:00;414,21
Loja B;PR;Produto X;16;2023-09-02 00:00:00;419,82
Loja E;PR;Produto Z;9;2023-02-14 00:00:00;432,56
Loja A;PR;Produto Y;8;2024-11-14 00:00:00;27,98
Loja C;SP;Produto W;15;2024-01-18 00:00:00;496,81
Loja E;MG;Produto X;7;2024-07-31 00:00:00;256,29
Loja E;SP;Produto X;19;2024-12-01 00:00:00;437,64
Loja C;MG;Produto X;4;2023-03-12 00:00:00;453,51
Loja E;SP;Produto W;9;2024-07-01 00:00:00;262,1
Loja A;RS;Produto Y;19;2023-08-27 00:00:00;35,03
Loja A;MG;Produto W;2;2024-08-02 00:00:00;302,76
Loja C;RJ;Produto W;7;2023-04-18 00:00:00;173,71
Loja D;MG;Produto Z;19;2023-07-27 00:00:00;111,32
Loja B;MG;Produto X;6;2024-12-22 00:00:00;99,43
Loja D;MG;Produto Y;15;2023-10-29 00:00:00;284,04
Loja E;RS;Produto Z;7;2024-03-05 00:00:00;61,19
Loja B;SP;Produto Z;6;2023-12-14 00:00:00;412,61
Loja C;RJ;Produto V;1;2023-04-17 00:00:00;121,37
Loja C;SP;Produto X;14;2024-06-11 00:00:00;279,15
Loja B;SP;Produto Y;1;2024-02-10 00:00:00;71,48
Loja A;PR;Produto Y;6;2023-09-13 00:00:00;431,22
Loja B;RS;Produto Y;18;2023-10-28 00:00:00;349,12
Loja E;PR;Produto X;17;2023-05-25 00:00:00;111,2
Loja A;RS;Produto Y;2;2024-11-06 00:00:00;360,71
Loja C;SP;Produto W;8;2024-06-07 00:00:00;50,62
Loja B;SP;Produto W;2;2024-07-15 00:00:00;388,39
Loja D;RS;Produto X;16;2023-12-26 00:00:00;250,27
Loja D;SP;Produto Y;4;2024-06-07 00:00:00;68,89
Loja E;SP;Produto V;2;2024-04-28 00:00:00;279,73
Loja D;RJ;Produto V;5;2023-07-09 00:00:00;108,42
Loja B;PR;Produto V;17;2023-10-23 00:00:00;339,66
Loja B;PR;Produto W;2;2023-04-03 00:00:00;357,22
Loja D;PR;Produto V;14;2023-05-10 00:00:00;382,81
Loja B;MG;Produto Y;7;2024-04-28 00:00:00;448,49
Loja E;RJ;Produto Y;15;2024-02-13 00:00:00;330,92
